"bioproject"	"nom"
"PRJDB14940"	"1. Evolutionarily diverse origins of honey bee deformed wing viruses"
"PRJNA726354"	"2. Varroa destructor strain:JXAU Raw sequence reads"
"PRJDB10252"	"3. A toolkit for studying Varroa genomics and transcriptomics: preservation, extraction, and sequencing library preparation"
"PRJNA642791"	"4. Whole genome gene expression differences between a coumaphos resistant and susceptible population of Varroa destructor"
"PRJNA473410"	"5. Varroa destructor Transcriptome or Gene expression"
"PRJNA392105"	"6. Transcriptome of Varroa destructor life cycle"
"PRJNA383492"	"7. Varroa destructor isolate:israel Transcriptome or Gene expression"
"PRJNA380433"	"8. Varroa destructor strain:BRL Transcriptome or Gene expression"
"PRJNA329427"	"9. Varroa destructor Transcriptome and virome"
"PRJNA1173326"	"10. Effects of Varroa destructor calmodulin dsRNA treatment on gene expression of foundress Varroa mites"
"PRJNA1097857"	"11. Salivary gland transcriptome of Varroa destructor"
"PRJNA1036652"	"12. RNA-sequencing of double-stranded treated and non-treated Varroa destructor mites"
"PRJNA986961"	"13. small RNA sequencing of Varroa destructor"
"PRJNA820512"	"14. Viral communities in the parasite Varroa destructor and in colonies of their honey bee host (Apis mellifera) in New Zealand"
"PRJNA777703"	"15. LncRNA analysis of Varroa"
"PRJNA728509"	"16. Varroa destructor and DWV haplotypes"
"PRJNA674908"	"17. Transcriptome profiling of the honey bee parasite Varroa destructor"
"PRJNA646192"	"18. Honey bee and varroa transcriptome under formic acid"
"PRJNA628859"	"19. Varroa destructor transcriptome"
"PRJNA531527"	"20. RNA virus diversity in apiary-associated insects"
"PRJNA357165"	"21. Transcriptomes of honey bees and Varroa mites"
"PRJNA172020"	"22. Honey bee (Apis mellifera) and an ectoparasitic mite of honey bee, Varroa destructor Transcriptome or Gene expression"
