bioproject	nom
PRJNA1290238	1. Apis mellifera Raw sequence reads
PRJDB15152	2. Visium analysis of gene expression in honey bees
PRJNA1227221	3. Single-nucleus and spatial transcriptome identify brain landscape of gene regulatory networks associated with behavioral maturation in honeybees
PRJNA1227195	4. Single-nucleus and spatial transcriptome identify brain landscape of gene regulatory networks associated with behavioral maturation in honeybees
PRJDB19871	5. MB in bee pupa
PRJDB14753	6. Reference transcriptome expressions of Western honeybee, Apis mellifera
PRJNA1125437	7. RNA-seq of worker antennae of honeybees (Apis mellifera) with a dsx stop/stop mutation
PRJNA1100956	8. Apis mellifera Genome sequencing and assembly
PRJNA1100784	9. Apis mellifera Genome sequencing and assembly
PRJNA1041771	10. Evolutionary Process Underlying Receptor Gene Expansion and Cellular Divergence of Olfactory Sensory Neurons in Honeybees. [scRNA-Seq]
PRJDB14260	11. Identification of ecdysone receptor (EcR) target genes in the adult brain of the European honey bee (Apis mellifera L.)
PRJNA1021163	12. Memory consolidation in honey bees is enhanced by down-regulation of Down Syndrome Cell Adhesion Molecule and changes its alternative splicing
PRJNA1001811	13. Apis mellifera Raw sequence reads
PRJNA981429	14. A postmeiotically bifurcated roadmap of honeybee spermatogenesis marked by phylogenetically restricted genes
PRJNA960873	15. Combined transcriptome and miRNA-based analysis of the molecular mechanism of collection preference in Italian honey bees
PRJNA940795	16. Examining parent-of-origin effects on transcription and RNA methylation in mediating aggressive behavior in honey bees (Apis mellifera)
PRJNA913589	17. Transcriptome analysis of Apis mellifera antennae reveals molecular divergence underlying the division of labor in worker bees
PRJNA907744	18. MicroRNA profiling of royal jelly extracellular vesicles and their potential role in cell viability and reversing cell apoptosis
PRJNA896707	19. Apis mellifera Raw sequence reads
PRJNA891719	20. Genetics of tolerance in honey bees to the neonicotinoid clothianidin.
PRJNA860593	21. Mushroom body RNA-Sequencing of the honey bee brain
PRJNA853272	22. Chromatin Accessibility-Based Characterization of the Gene Regulatory Networks Underpinning Phenotypic Plasticity in the Honey Bee (ATAC-Seq).
PRJNA853271	23. Chromatin Accessibility-Based Characterization of the Gene Regulatory Networks Underpinning Phenotypic Plasticity in the Honey Bee (ChIP-Seq).
PRJNA853270	24. Chromatin Accessibility-Based Characterization of the Gene Regulatory Networks Underpinning Phenotypic Plasticity in the Honey Bee (RNA-Seq).
PRJNA852803	25. Apis mellifera Raw sequence reads
PRJNA832511	26. Apis mellifera Raw sequence reads
PRJNA825517	27. Effects of fat body microRNA miR-305-5p knockdown on brain and fat body gene expression in Apis mellifera
PRJNA821623	28. Apis mellifera Raw sequence reads
PRJNA812631	29. Apis mellifera Raw sequence reads
PRJNA812324	30. Apis mellifera Transcriptome or Gene expression
PRJNA808312	31. Mediating a host cell signaling pathway linked to the overwinter mortality offers a promising therapeutic approach for improving bee health
PRJNA793933	32. Apis mellifera Raw sequence reads
PRJNA793823	33. The gut microbiota affects the social network of honeybees
PRJNA793424	34. Apis mellifera Raw sequence reads
PRJNA785787	35. Apis mellifera Raw sequence reads
PRJNA784509	36. Apis mellifera Raw sequence reads
PRJNA783076	37. Apis mellifera Transcriptome or Gene expression
PRJNA782854	38. Apis mellifera RNAi network construction
PRJNA779754	39. Apis_mellefera_hypopharyngeal_gland_RNA-seq
PRJNA765472	40. Apis mellifera Transcriptome or Gene expression
PRJNA764848	41. Single-cell transcriptomic analysis of honeybee brains identifies vitellogenin as caste differentiation-related factor
PRJNA757608	42. Abundant small RNAs in the reproductive tissues of the honey bee, Apis mellifera, are a plausible mechanism for epigenetic inheritance and parental manipulation of gene expression
PRJNA749144	43. Transcriptome difference between testis and ovary of Apis mellifera
PRJNA743412	44. Apis mellifera Transcriptome or Gene expression
PRJNA740269	45. Searching beyond the streetlight: neonicotinoid exposure alters the neurogenomic state of worker honey bees 
PRJNA713798	46. Next Generation Sequencing Facilitates Quantitative Analysis of Honey Bee Brain Transcriptomes Treated by Dinotefuran
PRJNA713522	47. bee Genome sequencing and assembly
PRJNA694473	48. Pharmacological activation of the Integrated Stress Response triggers a transcriptional program centered on ribosome biogenesis and function in honey bees
PRJNA689223	49. Apis mellifera strain:Managed Transcriptome or Gene expression
PRJNA670620	50. Apis mellifera Transcriptome or Gene expression
PRJNA668751	51. mRNA-Seq of male and female embyos of the honeybee (Apis mellifera)
PRJNA667676	52. Thermal stress induces tissue damage and a broad shift in regenerative signaling pathways in the honey bee intestine
PRJNA656275	53. Tissue specific transcription patterns support the kinship theory of intragenomic conflict in honey bees (Apis mellifera)
PRJNA648853	54. The absence of pollen in the diet of worker honeybees triggers premature aging
PRJNA641209	55. Apis mellifera Transcriptome or Gene expression
PRJNA636804	56. Apis mellifera Raw sequence reads
PRJNA616244	57. CRISPR-induced deletion of honey bee orco gene [RNA-Seq]
PRJNA616242	58. CRISPR-induced deletion of honey bee orco gene [DNA]
PRJNA609178	59. Single-cell dissection of aggression in honeybee colonies
PRJNA599219	60. Molecular effects of neonicotinoid thiacloprid in honey bees (Apis mellifera)
PRJNA595689	61. Single-cell dissection of aggression in honeybee colonies
PRJNA579390	62. The IRE1 Pathway Regulates Honey Bee Unfolded Protein Response Gene Expression
PRJNA564247	63. m6A methylome analysis reveals that m6A marks function in larval development and caste differentiation in honeybee (Apis mellifera)
PRJNA549281	64. Gene expression in honeybees
PRJNA542362	65. Apis mellifera Transcriptome or Gene expression
PRJNA541333	66. Meta-analysis of honey bee neurogenomic response to deformed wing virus
PRJNA541005	67. Brain regions and molecular pathways responding to food reward type and value in honey bees
PRJNA541004	68. Meta-analysis of honey bee neurogenomic response to deformed wing virus (drone)
PRJNA541003	69. Meta-analysis of honey bee neurogenomic response to deformed wing virus (worker)
PRJNA530116	70. Apis mellifera Transcriptome or Gene expression
PRJNA524311	71. Seminal fluid compromises visual perception in honeybee queens reducing their survival during additional mating flights
PRJNA498919	72. Transcriptomic responses to diet quality and viral infection in Apis mellifera
PRJNA498667	73. Apis mellifera Raw sequence reads
PRJNA493573	74. Phenotypic plasticity shapes genome architecture in the honeybee Apis mellifera (RNA-seq)
PRJNA493572	75. Phenotypic plasticity shapes genome architecture in the honeybee Apis mellifera (ChIP-seq)
PRJNA488619	76. Genome-wide analysis of coding and non-coding RNAs in ovary of honey bee workers
PRJNA480381	77. LncRNA profile of Apis mellifera
PRJNA479740	78. DNA methylation is maintained with high fidelity in the honey bee germline and exhibits global non-functional fluctuations during somatic development
PRJNA478161	79. Self-training algorithm for splice junction detection using RNA-seq and its application to honey bee transcriptomes
PRJNA450078	80. Honey bee neurogenomic responses to affiliative and agonistic social interactions
PRJNA442330	81. Apis mellifera pollen type and Nosema infection transcriptome
PRJNA438274	82. Apis mellifera Transcriptome or Gene expression
PRJNA438231	83. Apis mellifera Transcriptome or Gene expression
PRJNA436408	84. Apis mellifera Transcriptome or Gene expression
PRJNA434146	85. Queen and worker honeybee castes are defined by alternative chromatin states during larval development [RNA-Seq]
PRJNA431793	86. Diversity and selective forces in the key honey bee pathogen, Deformed wing virus
PRJNA431378	87. Gene expression underlying differential adult hind leg morphogenesis in honeybee castes [worker]
PRJNA431377	88. Gene expression underlying differential adult hind leg morphogenesis in honeybee castes [worker-queen_pupae]
PRJNA431376	89. Gene expression underlying differential adult hind leg morphogenesis in honeybee castes [worker-queen_larvae]
PRJNA431375	90. Gene expression underlying differential adult hind leg morphogenesis in honeybee castes [worker_queen_prepupae]
PRJNA431374	91. Gene expression underlying differential adult hind leg morphogenesis in honeybee castes [queen]
PRJNA427726	92. Transcriptome and Methylome of Apis mellifera pupae after IAPV infection
PRJNA407316	93. Differential circular RNAs expression in ovary during oviposition in honey bees
PRJNA395324	94. Sex-specific development in haplodiploid honeybee is controlled by the female-embryo-specific activation of thousands of intronic lncRNAs
PRJNA386067	95. Apis mellifera Transcriptome or Gene expression
PRJNA382552	96. Semi-field Study of Apis mellifera exposed to imidacloprid.
PRJNA379344	97. siRNA-based assembly of bee viral genomes
PRJNA374654	98. Effect of Varroa infestation, at the pupal stage, on the transcriptome of newly emerged bees, maintained under artificial conditions
